First Name,Last Name,Label,Weight,Height
Eddy,Hintz,SOCCER,132,62
Jarrett,Koelpin,BASKETBALL,185,65
Michelle,Gutmann,SOCCER,193,83
Loralee,Hodkiewicz,BASKETBALL,174,81
Adolph,Lubowitz,INDOOR_VOLLEYBALL,182,75
Leo,Feest,BASEBALL,183,73
Theresa,Russel,FIELD_HOCKEY,200,76
Rozanne,Farrell,FOOTBALL,143,82
Meredith,Prosacco,FOOTBALL,154,80
Vinnie,Watsica,BEACH_VOLLEYBALL,195,80
Shelly,Schulist,RUGBY,182,80
Anya,Tremblay,TENNIS,118,61
Sheba,Kutch,BEACH_VOLLEYBALL,140,61
Micheal,Herzog,ICE_HOCKEY,148,69
Ralph,Pfeffer,BEACH_VOLLEYBALL,157,72
Lera,Cormier,RACQUETBALL,137,71
Adolph,Smitham,BASEBALL,206,74
Antonette,Windler,BASKETBALL,111,76
Arlie,Mertz,FIELD_HOCKEY,153,61
Rima,Denesik,FIELD_HOCKEY,143,83
Lakeisha,Smith,FIELD_HOCKEY,194,75
Karin,Romaguera,TENNIS,154,77
Norberto,Torphy,BASEBALL,190,61
Valencia,Oberbrunner,INDOOR_VOLLEYBALL,166,82
Rayna,Lang,RACQUETBALL,133,62
Manual,Kohler,FOOTBALL,173,67
Micheline,Braun,TENNIS,197,79
Raina,Strosin,BASEBALL,200,71
Natashia,Nicolas,BASEBALL,155,75
Kyle,Orn,INDOOR_VOLLEYBALL,160,77
Aisha,Prohaska,BASKETBALL,195,76
Robt,Thompson,INDOOR_VOLLEYBALL,172,72
Mitch,Kerluke,SOCCER,186,64
Racheal,McLaughlin,RACQUETBALL,112,68
Mickey,Schumm,RACQUETBALL,132,76
Delma,Heidenreich,ICE_HOCKEY,119,80
Shelli,Von,RACQUETBALL,152,79
Alexis,Koepp,BASEBALL,164,83
Renate,Hudson,FOOTBALL,151,62
Ayana,Hickle,FIELD_HOCKEY,173,76
Antonina,Will,RACQUETBALL,139,61
Colton,Satterfield,BASKETBALL,162,80
Hana,Hauck,BASEBALL,163,68
Latosha,Padberg,SOCCER,168,66
Charley,McCullough,ICE_HOCKEY,186,64
Elbert,Flatley,RACQUETBALL,133,60
Titus,Hoeger,TENNIS,111,83
Warren,Johnston,RACQUETBALL,184,72
Lula,Friesen,ICE_HOCKEY,121,82
Major,Runolfsson,BASKETBALL,116,60
Jamar,Kemmer,INDOOR_VOLLEYBALL,168,77
Van,Walsh,FOOTBALL,198,72
Diann,Willms,RACQUETBALL,163,74
Halley,Mante,BEACH_VOLLEYBALL,159,82
Madlyn,Wiegand,ICE_HOCKEY,188,67
Valentin,Schinner,BASEBALL,172,60
Collin,Mann,BASEBALL,147,76
Jaime,Kiehn,ICE_HOCKEY,129,73
Stephen,Gulgowski,ICE_HOCKEY,110,71
Dwayne,Leffler,RUGBY,161,79
Danial,Ullrich,BEACH_VOLLEYBALL,165,71
Shad,Breitenberg,BEACH_VOLLEYBALL,133,81
Kelvin,Hyatt,RUGBY,209,83
Adelle,Auer,TENNIS,183,61
Chance,Bode,BEACH_VOLLEYBALL,113,80
Clarence,Kirlin,RACQUETBALL,120,83
Natisha,Hudson,FOOTBALL,196,82
Birdie,Williamson,BASKETBALL,187,71
Ninfa,Abbott,RACQUETBALL,177,83
Golden,Treutel,RUGBY,112,76
Velva,Predovic,TENNIS,188,74
Beryl,Feeney,BASKETBALL,137,80
Kazuko,Gleichner,BASEBALL,202,82
Vito,Bashirian,TENNIS,174,82
Odette,Hermiston,FOOTBALL,140,60
Sydney,Lang,ICE_HOCKEY,166,74
Darcy,Muller,FOOTBALL,141,76
Zada,Reynolds,BASEBALL,126,79
Dimple,Boyle,INDOOR_VOLLEYBALL,110,70
Tameika,Hessel,TENNIS,119,66
Luetta,Bradtke,RACQUETBALL,135,72
Thaddeus,Ziemann,TENNIS,194,82
Randolph,Haley,RUGBY,121,70
Jovan,Jacobs,BASEBALL,204,75
Robert,Mosciski,BEACH_VOLLEYBALL,120,81
Sherley,Gerlach,SOCCER,182,64
Alan,Wisoky,INDOOR_VOLLEYBALL,172,82
Arletha,Armstrong,BASEBALL,114,73
Wendell,Anderson,SOCCER,179,64
Vivan,Zboncak,INDOOR_VOLLEYBALL,204,74
Lonny,Ondricka,BASKETBALL,152,67
Carter,O'Kon,RACQUETBALL,135,69
Evelyn,Ankunding,BASEBALL,180,83
Ariana,Orn,BASEBALL,159,76
Tonie,Botsford,FIELD_HOCKEY,114,80
Jorge,Hoeger,BEACH_VOLLEYBALL,203,70
Shaunta,Spencer,BEACH_VOLLEYBALL,164,66
Adan,Jaskolski,ICE_HOCKEY,186,77
Collen,Lehner,INDOOR_VOLLEYBALL,209,64
Adeline,Zemlak,INDOOR_VOLLEYBALL,113,61
Marica,Kautzer,FOOTBALL,191,71
Jewel,Dooley,FOOTBALL,142,76
Henry,Boyle,TENNIS,114,75
Anika,Paucek,RACQUETBALL,118,62
Barry,Spinka,RACQUETBALL,141,61
Wilton,Schulist,BEACH_VOLLEYBALL,123,80
Santo,Weissnat,TENNIS,144,65
Reynalda,Toy,FIELD_HOCKEY,201,65
Kristofer,Beatty,BASEBALL,193,83
Terese,Flatley,BASKETBALL,133,68
Tyler,Schaden,RUGBY,148,61
Elijah,McCullough,FOOTBALL,170,76
Evette,Ledner,RACQUETBALL,187,61
Jarrod,Schimmel,BASEBALL,169,69
Loraine,Flatley,INDOOR_VOLLEYBALL,146,80
Estela,Koss,BASKETBALL,195,80
Harland,Rau,BASEBALL,112,63
Rochell,Koch,RUGBY,156,63
Loreen,Botsford,BASEBALL,177,69
Otha,Hilll,BEACH_VOLLEYBALL,134,80
Myrl,Jacobson,FOOTBALL,171,76
Loreen,King,RACQUETBALL,151,79
Ernie,Botsford,BASKETBALL,121,64
Ward,Lueilwitz,FOOTBALL,163,63
Terrell,Hessel,FIELD_HOCKEY,180,60
Madelyn,Rau,BEACH_VOLLEYBALL,120,79
Tyler,Denesik,BEACH_VOLLEYBALL,130,65
Grant,McGlynn,TENNIS,204,61
Jessie,Jacobi,RACQUETBALL,124,72
Mozell,McKenzie,FOOTBALL,208,66
Minta,Jacobs,TENNIS,196,78
Cleo,Erdman,BASEBALL,120,80
Noel,Monahan,ICE_HOCKEY,123,70
Glenn,Hansen,SOCCER,178,67
Takisha,Maggio,RUGBY,137,69
Jamie,Roob,FOOTBALL,189,67
Kieth,Graham,TENNIS,124,66
Quentin,Kiehn,RUGBY,137,83
Sunny,McCullough,RUGBY,166,64
Traci,Lakin,FOOTBALL,197,73
Bryanna,Emard,INDOOR_VOLLEYBALL,154,62
Tameika,Mayert,BASKETBALL,189,75
Valentine,Metz,BASKETBALL,165,64
Lakiesha,Kovacek,BASKETBALL,191,78
Odis,Hauck,INDOOR_VOLLEYBALL,137,79
Kristine,Schamberger,TENNIS,126,76
Valentin,Armstrong,TENNIS,187,74
Dane,Miller,BASEBALL,170,72
Jacinta,Hermiston,TENNIS,121,60
Garret,Schuppe,BEACH_VOLLEYBALL,167,62
Petra,Daniel,BASEBALL,123,73
Ryan,Bauch,RACQUETBALL,132,67
Katerine,Williamson,BEACH_VOLLEYBALL,199,82
Josiah,Zboncak,BASKETBALL,131,68
Jordan,Anderson,ICE_HOCKEY,209,73
Javier,Torphy,INDOOR_VOLLEYBALL,141,81
Rudy,Franecki,INDOOR_VOLLEYBALL,124,62
Carolee,Johns,BEACH_VOLLEYBALL,116,69
Shanna,Tromp,TENNIS,119,82
Milton,Wolf,BASEBALL,195,62
Elenore,Spencer,ICE_HOCKEY,140,60
Adolfo,Shields,TENNIS,129,76
Jeannie,Towne,RACQUETBALL,162,63
Billye,Brekke,FIELD_HOCKEY,178,77
Bula,Ruecker,FOOTBALL,113,66
Mohamed,Ziemann,BASEBALL,176,66
Stepanie,Buckridge,FOOTBALL,209,62
Maricruz,Herzog,BASKETBALL,141,66
Diane,Purdy,TENNIS,202,68
Ivana,Ebert,ICE_HOCKEY,179,73
Tashia,Bradtke,BASEBALL,129,70
Pete,Keebler,FIELD_HOCKEY,160,60
Lilliana,Erdman,FOOTBALL,171,75
Denis,Kuphal,SOCCER,129,65
Aurelio,Doyle,ICE_HOCKEY,171,66
Donnie,Altenwerth,INDOOR_VOLLEYBALL,110,61
Krista,Wisozk,TENNIS,152,70
Jared,Fahey,SOCCER,158,81
Stephaine,Wilderman,SOCCER,145,66
Mozell,Feeney,FIELD_HOCKEY,149,63
Alexa,O'Connell,SOCCER,133,62
Beverlee,Kreiger,ICE_HOCKEY,200,74
Fletcher,Heaney,SOCCER,141,72
Christian,Pagac,BASEBALL,114,82
Randee,Weimann,BASKETBALL,184,72
Santos,Sawayn,BEACH_VOLLEYBALL,167,64
Perry,Lockman,ICE_HOCKEY,181,68
Shamika,Dach,INDOOR_VOLLEYBALL,175,65
Tyson,Breitenberg,FOOTBALL,173,66
Darrin,Flatley,BEACH_VOLLEYBALL,162,77
Kimber,Jenkins,SOCCER,168,72
Mozella,Rogahn,BASKETBALL,170,72
Edythe,Blanda,BASKETBALL,132,79
Asa,Pagac,SOCCER,135,60
Pauletta,Bogan,FIELD_HOCKEY,193,69
Tony,Jaskolski,SOCCER,144,70
Phylicia,Stroman,SOCCER,164,65
Ryann,Terry,BASKETBALL,141,71
Melissia,Dibbert,RUGBY,131,70
Harry,Stiedemann,RACQUETBALL,110,77
Eleonor,Donnelly,SOCCER,160,62
Ezra,Schoen,RUGBY,188,70
Joshua,Quitzon,RUGBY,117,74
Laverne,Rosenbaum,BEACH_VOLLEYBALL,120,71
Vanna,Schuppe,TENNIS,193,64
Amie,Abbott,FIELD_HOCKEY,110,64
Floyd,Bartell,ICE_HOCKEY,120,75
Fermin,Pagac,RACQUETBALL,145,61
Adena,Senger,SOCCER,190,69
Leonardo,Feil,INDOOR_VOLLEYBALL,162,65
Lolita,Wehner,RACQUETBALL,111,72
Daniell,McDermott,BASKETBALL,162,66
Frank,Davis,BEACH_VOLLEYBALL,202,83
Kyle,Kirlin,BEACH_VOLLEYBALL,189,76
Adena,Langosh,BASKETBALL,208,71
Edmond,Pouros,BASEBALL,190,65
Raelene,Lowe,BASKETBALL,194,74
Landon,Yundt,SOCCER,163,73
Christoper,Runte,BEACH_VOLLEYBALL,195,77
Emmanuel,Homenick,BASEBALL,145,76
Lauri,Champlin,TENNIS,177,60
Buster,Roob,FOOTBALL,116,80
Dion,Klocko,RACQUETBALL,116,62
Thomas,O'Reilly,RACQUETBALL,173,72
Joslyn,White,RUGBY,142,82
Jackelyn,Hills,SOCCER,209,80
Jaclyn,Toy,BASKETBALL,209,79
Man,Erdman,TENNIS,189,71
Moses,Brekke,TENNIS,135,75
Johnnie,Casper,BEACH_VOLLEYBALL,140,74
Casey,Breitenberg,FOOTBALL,131,74
Launa,Baumbach,RUGBY,205,82
Adolph,Bartell,BEACH_VOLLEYBALL,140,67
Herb,Block,ICE_HOCKEY,161,77
Collene,Schoen,SOCCER,207,70
Moises,Jacobs,FIELD_HOCKEY,187,68
Wilma,Daniel,BASEBALL,142,75
Fredericka,Hand,RUGBY,191,80
Soledad,Roberts,FIELD_HOCKEY,201,75
Brett,Emmerich,ICE_HOCKEY,126,75
Ilene,Kilback,TENNIS,134,69
Veta,Herzog,RACQUETBALL,175,77
Wilmer,Littel,INDOOR_VOLLEYBALL,196,72
Marcelo,Flatley,BEACH_VOLLEYBALL,120,61
Monroe,Williamson,INDOOR_VOLLEYBALL,135,80
Deshawn,Shanahan,RUGBY,191,77
Laure,Mosciski,SOCCER,163,78
Hae,Flatley,RACQUETBALL,202,77
Coral,Frami,BASKETBALL,170,69
Jacinta,O'Reilly,FOOTBALL,157,64
Angelita,Stroman,SOCCER,149,67
Jacqueline,Bernhard,RACQUETBALL,142,62
Landon,Dach,TENNIS,134,76
Madlyn,Carter,BASEBALL,196,82
Marco,Schowalter,FOOTBALL,164,76
Lavonia,Doyle,TENNIS,119,61
Angelo,Reilly,BEACH_VOLLEYBALL,170,67
Bennett,McClure,FOOTBALL,131,76
Anjanette,Collins,TENNIS,154,69
Carmen,Durgan,ICE_HOCKEY,197,71
Neal,Stanton,BASKETBALL,195,70
Arlinda,Senger,BASKETBALL,134,73
Cheryle,Barton,BASKETBALL,166,74
Venetta,Halvorson,INDOOR_VOLLEYBALL,187,80
Rachele,Hackett,BEACH_VOLLEYBALL,133,63
Junie,Abshire,INDOOR_VOLLEYBALL,112,61
Flora,McDermott,INDOOR_VOLLEYBALL,160,74
Eduardo,Prohaska,TENNIS,113,60
Richie,White,FIELD_HOCKEY,160,74
Phil,Crooks,BEACH_VOLLEYBALL,176,60
Ora,Renner,BEACH_VOLLEYBALL,190,79
Eugene,Ratke,FIELD_HOCKEY,167,83
Carl,Doyle,TENNIS,129,69
Kai,Beer,BEACH_VOLLEYBALL,142,78
Mara,Tillman,FIELD_HOCKEY,195,68
Patience,Lowe,RACQUETBALL,128,74
Emma,Thiel,FIELD_HOCKEY,172,65
Catalina,Herzog,RUGBY,196,82
Leonarda,Erdman,BASKETBALL,155,77
Adolfo,Breitenberg,INDOOR_VOLLEYBALL,152,76
Trevor,Mills,RUGBY,209,65
Leeann,Heller,ICE_HOCKEY,111,78
Morgan,Hoppe,SOCCER,132,80
Theron,Bradtke,RUGBY,122,61
Louvenia,Schulist,FOOTBALL,129,74
Renae,Pacocha,SOCCER,157,76
Millicent,O'Kon,BEACH_VOLLEYBALL,168,64
Pete,Berge,FOOTBALL,115,71
Valentine,Gerlach,TENNIS,111,68
Rudolph,DuBuque,BASEBALL,127,61
Ranee,Swaniawski,FOOTBALL,198,73
Elliott,Casper,FIELD_HOCKEY,145,66
Darci,Kuvalis,BASKETBALL,183,74
Brady,Langosh,FOOTBALL,161,81
Karyl,Luettgen,FIELD_HOCKEY,151,69
Skye,Gottlieb,BEACH_VOLLEYBALL,130,70
Terrell,McClure,SOCCER,173,72
Elisha,Predovic,SOCCER,113,74
Shannan,Hyatt,FIELD_HOCKEY,176,70
Marlene,Rutherford,BASKETBALL,186,80
Kirby,Ward,TENNIS,111,72
Faustino,Morar,RACQUETBALL,148,69
Lakiesha,Cremin,BEACH_VOLLEYBALL,152,80
Melissia,Schmidt,RACQUETBALL,113,69
Hilton,Treutel,BEACH_VOLLEYBALL,184,63
Lilian,Beatty,BASKETBALL,129,83
Tony,Cummerata,FOOTBALL,125,73
Dolores,Bergnaum,ICE_HOCKEY,186,65
Lucille,Schaden,ICE_HOCKEY,176,72
Federico,Renner,FIELD_HOCKEY,132,78
Chi,Streich,FOOTBALL,158,71
Rodrick,Sanford,ICE_HOCKEY,165,81
Willy,Johns,RUGBY,157,73
Vella,Mante,RACQUETBALL,121,62
India,Schuster,RACQUETBALL,148,73
Leif,Swift,ICE_HOCKEY,141,80
Janiece,Barrows,ICE_HOCKEY,124,66
Josh,Runolfsson,SOCCER,201,69
Dell,Nicolas,TENNIS,203,74
Shizue,Friesen,RACQUETBALL,174,78
Ollie,Luettgen,INDOOR_VOLLEYBALL,195,64
Gayle,Ziemann,BASKETBALL,129,81
Lashell,Morar,BASKETBALL,209,70
Max,Kunze,TENNIS,151,76
Mabelle,Bins,SOCCER,128,80
Mose,Hintz,RUGBY,120,61
Minh,Hettinger,TENNIS,172,73
Albertine,Haley,FIELD_HOCKEY,127,78
Loni,Heaney,FIELD_HOCKEY,115,77
Raylene,Pagac,BASEBALL,190,83
Shara,Parisian,ICE_HOCKEY,194,82
Chester,Bahringer,SOCCER,129,79
Robert,Hoppe,FIELD_HOCKEY,172,71
Jae,Ledner,FOOTBALL,160,76
Scot,Rogahn,SOCCER,169,76
Elwood,Wyman,RUGBY,114,82
Grace,Parker,FOOTBALL,153,82
Cedric,Donnelly,BASEBALL,145,63
Russell,Lubowitz,BASKETBALL,164,81
August,Doyle,INDOOR_VOLLEYBALL,171,81
James,Mayert,FIELD_HOCKEY,193,73
Odette,Abernathy,RACQUETBALL,141,83
Karen,Corkery,ICE_HOCKEY,188,80
Anamaria,Olson,SOCCER,177,66
Michael,Marquardt,BEACH_VOLLEYBALL,194,83
Shila,Grimes,RACQUETBALL,122,82
Deon,Armstrong,BASKETBALL,153,68
Ricky,Borer,BEACH_VOLLEYBALL,136,83
Willena,Walker,FIELD_HOCKEY,128,79
Francisco,Borer,BEACH_VOLLEYBALL,156,65
Connie,Nikolaus,TENNIS,161,77
Lester,Legros,BASEBALL,140,82
Harland,Deckow,BASEBALL,129,69
Will,Halvorson,RUGBY,173,60
Louie,Schuster,SOCCER,177,77
Valentine,Emmerich,BASEBALL,165,83
Perry,Rath,BASKETBALL,148,65
Cody,Balistreri,INDOOR_VOLLEYBALL,147,79
Stanley,Zulauf,BASEBALL,113,72
Dannielle,Stark,FIELD_HOCKEY,133,71
Aldo,Schultz,FOOTBALL,171,78
Machelle,Conroy,SOCCER,204,70
Kevin,Casper,INDOOR_VOLLEYBALL,172,69
Normand,Mills,BASEBALL,113,79
Trent,Feil,INDOOR_VOLLEYBALL,111,66
Carlena,Waelchi,ICE_HOCKEY,172,73
Nerissa,Rogahn,RUGBY,133,62
Chung,Mohr,SOCCER,126,65
Kara,Padberg,FIELD_HOCKEY,208,72
Laurene,Turcotte,ICE_HOCKEY,191,61
Anderson,Gislason,TENNIS,164,61
Hipolito,Romaguera,TENNIS,138,74
Bobbie,Nikolaus,RUGBY,188,80
Tim,Purdy,FOOTBALL,179,79
Timmy,Monahan,BASEBALL,165,78
Camila,Ledner,ICE_HOCKEY,129,62
Emilia,Turcotte,FIELD_HOCKEY,149,66
Shonda,Boyer,FOOTBALL,149,66
Johnie,Rempel,FOOTBALL,134,61
Lois,Hoppe,TENNIS,145,64
Mia,Boyer,FIELD_HOCKEY,132,65
Kelle,Adams,BASKETBALL,150,63
Hassan,Yost,BASKETBALL,185,64
Mirna,Bins,SOCCER,203,60
Mattie,Shields,BASKETBALL,168,76
Justin,Cartwright,BASEBALL,143,68
Curt,Shields,TENNIS,153,83
Sidney,Gerlach,BASEBALL,174,73
Marc,Hane,BASEBALL,193,65
Rachel,Skiles,TENNIS,112,65
Alonso,Bode,FOOTBALL,133,68
Delisa,Rowe,RACQUETBALL,181,64
Abdul,Ankunding,SOCCER,178,66
William,Ortiz,RACQUETBALL,131,71
Shon,Schamberger,BASKETBALL,146,70
Jazmin,Feil,BASKETBALL,187,74
Ninfa,Haag,TENNIS,208,68
April,Rice,BASEBALL,194,82
Victorina,Bednar,RUGBY,115,74
Yelena,Keebler,RUGBY,126,72
Colin,Block,BASEBALL,172,74
Phillis,Kerluke,RACQUETBALL,191,64
Jared,Ebert,INDOOR_VOLLEYBALL,189,73
Elvin,Hartmann,RACQUETBALL,110,74
Mark,Hoeger,TENNIS,207,81
Donnell,Cremin,RUGBY,163,62
Mac,Christiansen,BEACH_VOLLEYBALL,140,63
Alexis,Hayes,RACQUETBALL,117,70
Henry,Johnson,ICE_HOCKEY,134,78
Christian,Runolfsson,INDOOR_VOLLEYBALL,158,74
Efrain,Emmerich,FOOTBALL,173,79
Heidy,Johnson,BASEBALL,114,66
Rodney,Casper,BASEBALL,170,77
Armanda,Murray,BASKETBALL,208,61
Mariana,Fadel,FOOTBALL,136,77
Lenita,Stark,ICE_HOCKEY,131,67
Delbert,Bailey,FOOTBALL,208,67
Holli,O'Connell,RUGBY,191,83
Keshia,Marks,BEACH_VOLLEYBALL,115,72
George,Beahan,FIELD_HOCKEY,191,67
Mariano,Watsica,BASEBALL,172,70
Valrie,Hackett,BASKETBALL,198,74
Denisha,Kuhic,BEACH_VOLLEYBALL,203,68
Allen,Luettgen,RACQUETBALL,124,61
Clarence,Heaney,BASEBALL,207,80
Kasandra,Feil,RACQUETBALL,180,73
Blythe,Gottlieb,TENNIS,129,74
Clyde,Schmidt,TENNIS,166,83
Edmond,Sauer,BASKETBALL,167,79
Angle,Wehner,BEACH_VOLLEYBALL,122,83
Wilfredo,Kshlerin,RUGBY,181,78
Art,Thompson,TENNIS,171,65
Alvaro,Heaney,SOCCER,168,81
Forrest,Gislason,RUGBY,157,71
Leonora,Ankunding,BEACH_VOLLEYBALL,188,82
Alvera,Konopelski,FOOTBALL,113,69
Lakita,Wisozk,RACQUETBALL,190,80
Catherin,Littel,INDOOR_VOLLEYBALL,200,76
Savanna,Blanda,FIELD_HOCKEY,153,75
Lenny,Dach,BASEBALL,205,75
Lavonda,Hilll,TENNIS,196,79
Lasandra,Wolff,BEACH_VOLLEYBALL,152,75
Devorah,Harris,BASEBALL,186,74
Joan,Hane,SOCCER,152,73
Berna,Walsh,SOCCER,167,68
Kasey,Turcotte,TENNIS,110,74
Leonore,Moen,RUGBY,174,82
Heike,Hartmann,RACQUETBALL,186,62
Kyung,Willms,TENNIS,182,62
Graham,Carter,ICE_HOCKEY,111,64
Iraida,McCullough,BASKETBALL,139,67
Deon,Schneider,INDOOR_VOLLEYBALL,160,81
Anglea,Reichert,ICE_HOCKEY,160,77
Yvone,MacGyver,ICE_HOCKEY,200,79
Jimmie,Marvin,RUGBY,143,61
Ralph,Sporer,TENNIS,168,77
Caitlin,Cormier,RACQUETBALL,121,74
Sibyl,Cruickshank,BASKETBALL,184,79
Rosenda,Emard,FIELD_HOCKEY,193,70
Isidro,Stehr,RUGBY,169,77
Olympia,Greenfelder,INDOOR_VOLLEYBALL,195,80
Craig,Kunde,BASEBALL,134,66
Maryam,Heller,BEACH_VOLLEYBALL,204,72
Clemente,Boyer,ICE_HOCKEY,198,65
Chong,O'Hara,TENNIS,172,62
Kevin,Ankunding,BEACH_VOLLEYBALL,110,61
Precious,Conroy,RACQUETBALL,167,69
Marquetta,Feeney,FIELD_HOCKEY,194,64
Lovetta,Crist,SOCCER,203,64
Tamica,McClure,TENNIS,133,73
Myles,Kassulke,RACQUETBALL,121,83
Bethany,Watsica,BASKETBALL,111,61
Adelina,Crist,SOCCER,206,60
Ashley,Walker,FOOTBALL,120,69
Donn,Funk,BASEBALL,156,78
Stan,Feil,FIELD_HOCKEY,129,81
Roselyn,Parker,RACQUETBALL,193,82
Rodrick,D'Amore,RUGBY,130,66
Cyrus,Barrows,RUGBY,157,67
Christine,Hamill,FIELD_HOCKEY,146,63
Katelynn,Borer,BASKETBALL,151,72
Mauro,Nikolaus,FOOTBALL,199,79
Melisa,Green,RACQUETBALL,156,64
Myron,Rolfson,INDOOR_VOLLEYBALL,154,65
Willis,Lehner,BEACH_VOLLEYBALL,204,77
Arlie,Langworth,RACQUETBALL,167,66
Teresita,Franecki,FIELD_HOCKEY,123,74
Glen,Daugherty,BASEBALL,194,82
Valorie,Bartoletti,SOCCER,160,76
Garrett,Medhurst,RACQUETBALL,187,66
Sandra,Ward,INDOOR_VOLLEYBALL,152,82
Ermelinda,Gerhold,INDOOR_VOLLEYBALL,209,71
Phoebe,Ferry,BASEBALL,123,61
Tyson,Collier,BEACH_VOLLEYBALL,164,62
Fanny,Hagenes,RACQUETBALL,112,79
Tula,Brown,FOOTBALL,138,79
Parker,Gulgowski,ICE_HOCKEY,112,77
Terrance,Hermann,RUGBY,129,77
August,Rowe,INDOOR_VOLLEYBALL,155,73
Marc,Cremin,BEACH_VOLLEYBALL,204,77
Karl,Crooks,RACQUETBALL,120,78
Maragret,Bergstrom,TENNIS,111,79
Shon,Murazik,BEACH_VOLLEYBALL,208,74
Randal,Hickle,BASEBALL,188,65
Jarrod,Shields,SOCCER,149,63
Glen,Langworth,BASEBALL,140,79
Clemencia,Beatty,SOCCER,125,74
Angelic,Cruickshank,RUGBY,186,65
